10003;КОНСТАНТА;;;;;;47,81;166,6;;1179;;;5302,74;1490,5;5505,48;4285;4590,58;3371,5;1468,07;2178,4;693,1;644,5;6098,72;3418,69;2913,24;6490,96;594,8;10707,52;5508,01;7094,5;4966,29;15024,17;5305,19;8826,93;13875,02;7492,5;26000,92;28719,2;10685,01;26334,71;8446,09;14590,53;20757,19;7712,09;15015,09;44962,16;23442,91;18168,57;42659,37;12737,36;7122,96;15538,27;15348,16;7662,41;;33286,24;17434,58;15520,41;10717,91;23012,58;59044,01;4452,32;32037,59;12391,77;12728,65;10645,56;9838,52;14220,29;18193,59;5706,74;28429,05;12241,48;23389,53
1000629;АДП Кабельные Сети;3774,54;16771,7;1464,32;4868,6;4454,17;1879,4;3102,55;6085,2;23190,75;39948,49;3492,6;38853,86;16857,66;7187,72;24332,38;14115,62;14830,49;46154,77;10677,54;40014,86;46564,18;30436,51;24270,76;18094,02;24621,08;27120,89;107833,91;38187,6;4417,79;77033,16;27547,48;78343,64;59500,97;25177,45;71397,74;92850,15;10050,48;11347,48;16188,88;33046,08;4951,36;45227,04;21613,36;110934,46;14446,46;44313,95;23427,97;19934,71;42914,32;27821,64;51351,93;22113,35;30577,38;96469,68;31714,31;26520,15;19263,01;154906,13;22401,83;30512,97;9694,8;17978,72;11431,36;8041,15;15658,34;50083,79;13255,44;14673,01;9886,88;16937,89;10772,25;14040
1000636;Computer Mechanics;;;1055;70655,64;1165,6;2256;;;;53444,22;10986,25;68483,76;7486,01;34909,43;17248,53;9748,73;;2837;;;;332,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000640;NetSL;88925,6;7135,02;5378,52;4830,68;19179,24;20343,18;43386,17;12375,49;71575,88;50913,49;19710,44;52178,53;18611,52;26940,22;45176,08;34764,21;13972,53;26707,93;11403,36;32914,22;37352,47;42188,53;116564,39;64205,33;140750,79;17188,52;69139,71;33453,85;19846,17;160091,25;132961,06;91514,6;59496,16;148402,7;86556,88;242267,81;39149,95;61262,44;203398,11;43433,43;204370,57;164709,52;105552,75;145868,58;228824,74;162668,86;241129,01;239256,83;37253,43;49242,51;15724,99;16933,27;27011,74;483;112749,87;144882,14;65164,88;27806,59;165640,62;279430,96;57129,19;244577,94;81862,61;32338,91;247250,9;319363,1;11858,9;16169,46;11254,52;34996,51;74739,8;34034,9
1000645;Jet Infosystems;98236,15;15017,71;96642,79;41096,4;115300,01;582313,21;296307,6;265101,33;117379;151396,07;533879,9;732647,76;32584,44;430684,3;551704,01;266881,32;2902115,31;629236,17;564511,02;273650,74;247059,15;1032732,01;989347,25;1494944,39;199232,94;1639916,23;638643,04;277974,68;107645,27;286351,4;503507,48;222706,64;1112532,1;1757223,19;2376758,37;1370935,11;275987,77;1126142,57;845394,8;336256,16;1503701,11;443513,1;1460294,55;614830,49;620014,71;1336227,95;640713,21;804767,7;668733,53;1772465,14;362304,4;1271988,93;522588,94;737283,08;1105556,35;1066812,9;1074712,92;1807805,98;1285963,98;2786616,11;3059075,87;2283952,22;2020032,87;1751446,51;2468600,33;1620483,16;4239310,87;1813065,52;3441429;1546264,31;2306186,8;3713293,61
1000673;Крок;263035,68;495711,73;383768,93;273750,08;516680,84;374413,66;2577544;422861;1487733,88;1185994,06;1041089,66;3650927,1;621517,38;693439,73;1057174,66;1214856,68;1052565,49;1318527,7;2007306,91;1109046,21;1196282,66;1474201,36;2865880,02;3313681,89;626732,62;3319098,24;4146939,07;653336,27;1622590,95;1318277,77;851922,29;4268911,88;1702105,64;1568791,38;2525639,06;11829976,03;1562302,8;1687239,88;1162794,01;1443461,17;1880265,74;1785026,86;1464183,79;2365025,11;1186503,27;1916288,67;2193215,7;4516905,31;2641587,77;3766976,97;2354271,47;4016557,69;1240552,86;2357218,07;3493199,62;2087711,93;1283302,51;3179919,51;3238578,58;5802294,12;1632706,16;2665680,36;2537149,76;1217534,62;3210230,99;1792774,77;8152795,47;1405459,32;2523269,68;4640689,43;1887443,05;4146315,75
1000681;НИКС ООО;201777,47;384295,03;573654,52;514442,44;372178,85;682874,27;410801,98;416065,9;428284,97;538997,29;718027,67;866190,7;471010,34;557176,85;905524,29;608312,7;506427,17;530122,44;554020,88;748207,16;764140,83;434528,3;755088,18;958681,33;471399,32;675936,52;874585,8;692986,52;431891,17;502862,61;718280,16;542092,69;909400,09;686683,2;727555,93;724096,51;512755,06;622973,98;551262,43;443972,36;668570,85;485284,83;650013,41;622147,72;578454,07;968641,32;1304945,17;1357917,58;1032480,26;771216,75;896602,32;1180404,83;1024110,86;1437596,55;1382483,91;1200830,48;1181144,74;1476198,87;1836205,46;1540433,8;963383,07;1165064,74;1111394,53;1316743,03;1071555,98;1345209,88;1169059,18;1216456,39;994265,1;1437016,61;995874,36;929114,71
1000694;Ярс-Кари;;;;;;;;;;;;;;;;;;;;;;;;;;;2778;;;;;;;;;;;;;;;;;6582,61;;;10816,83;5235,4;;2095,07;971,34;;;832;4660;;;;;;;;;;;;;;;;;
1000703;КОРОНА-СЕРВИС;;3059;;;;;;;;;2267;;1630;;;;;;;;;;;1360;;;;;;;;;;;;1431,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000704;CWN;470,74;3330;1034,57;1338,48;;;476,84;;2505;;;4550,01;1939,7;;;;;;;;;;;670,55;;;;;;;;512,37;;;3785,96;;;;;683,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
